N,w_ratio,r_min,seed,mean_brier,mean_H,mean_A,mean_r,n_tasks
8,0.0,0.5,456,0.41719307938361,0.32,0.99,0.8375971099999999,100
8,0.0,0.5,789,0.41402515216970004,0.33,0.99,0.84187162,100
8,0.0,0.7,0,0.36880647663116994,0.37,0.78,0.83454663,100
8,0.0,0.7,42,0.39771816660518,0.34,0.75,0.8368325799999999,100
8,0.0,0.7,123,0.37563368470161995,0.36,0.71,0.8281010000000001,100
8,0.0,0.7,456,0.41719307938361,0.32,0.78,0.8375971099999999,100
8,0.0,0.7,789,0.41402515216970004,0.33,0.78,0.84187162,100
8,0.0,0.9,0,0.36880647663116994,0.37,0.44,0.83454663,100
8,0.0,0.9,42,0.39771816660518,0.34,0.42,0.8368325799999999,100
8,0.0,0.9,123,0.37563368470161995,0.36,0.44,0.8281010000000001,100
8,0.0,0.9,456,0.41719307938361,0.32,0.44,0.8375971099999999,100
8,0.0,0.9,789,0.41402515216970004,0.33,0.44,0.84187162,100
8,0.25,0.5,0,0.37365100452271,0.37,0.99,0.83906005,100
8,0.25,0.5,42,0.40072179453886003,0.34,0.99,0.83967112,100
8,0.25,0.5,123,0.37698832685073996,0.36,1.0,0.8295174799999999,100
8,0.25,0.5,456,0.41812658314194,0.32,1.0,0.8385269399999999,100
8,0.25,0.5,789,0.41462229839318,0.33,1.0,0.8424842800000001,100
8,0.25,0.7,0,0.39256998619322,0.37,0.94,0.85240144,100
8,0.25,0.7,42,0.41398208605835,0.34,0.91,0.84852585,100
8,0.25,0.7,123,0.40897575397705,0.36,0.92,0.85260465,100
8,0.25,0.7,456,0.44299507812767996,0.32,0.96,0.85729774,100
8,0.25,0.7,789,0.43913545013617006,0.33,0.95,0.86066301,100
8,0.25,0.9,0,0.39215463376104,0.37,0.56,0.84775808,100
8,0.25,0.9,42,0.42440345581936,0.34,0.56,0.8518444599999999,100
8,0.25,0.9,123,0.39025257181052,0.36,0.52,0.8362969800000001,100
8,0.25,0.9,456,0.43646983305415,0.32,0.55,0.84845839,100
8,0.25,0.9,789,0.43498058243973,0.33,0.57,0.8535306699999999,100
8,0.5,0.5,0,0.37365100452271,0.37,0.99,0.83906005,100
8,0.5,0.5,42,0.40538047650166,0.34,1.0,0.84319132,100
8,0.5,0.5,123,0.37698832685073996,0.36,1.0,0.8295174799999999,100
8,0.5,0.5,456,0.41812658314194,0.32,1.0,0.8385269399999999,100
8,0.5,0.5,789,0.41462229839318,0.33,1.0,0.8424842800000001,100
8,0.5,0.7,0,0.4042664970336,0.37,0.98,0.86212348,100
8,0.5,0.7,42,0.44068266400919,0.34,0.99,0.8688228499999999,100
8,0.5,0.7,123,0.4276391708103,0.36,0.98,0.86622608,100
8,0.5,0.7,456,0.44971190214516,0.32,0.98,0.86200038,100
8,0.5,0.7,789,0.45033535132532004,0.33,0.99,0.8692026199999999,100
8,0.5,0.9,0,0.43401564487125,0.37,0.68,0.87279691,100
8,0.5,0.9,42,0.48731874810888004,0.34,0.73,0.88934162,100
8,0.5,0.9,123,0.45623119794650996,0.36,0.69,0.8766767299999999,100
8,0.5,0.9,456,0.51097201624115,0.32,0.75,0.8931919700000001,100
8,0.5,0.9,789,0.49116420300174,0.33,0.73,0.88733412,100
8,1.0,0.5,0,0.37947225483311003,0.37,1.0,0.84325839,100
8,1.0,0.5,42,0.40538047650166,0.34,1.0,0.84319132,100
8,1.0,0.5,123,0.37698832685073996,0.36,1.0,0.8295174799999999,100
8,1.0,0.5,456,0.41812658314194,0.32,1.0,0.8385269399999999,100
8,1.0,0.5,789,0.41462229839318,0.33,1.0,0.8424842800000001,100
8,1.0,0.7,0,0.41509674332560004,0.37,1.0,0.8694713000000001,100
8,1.0,0.7,42,0.44653093250562004,0.34,1.0,0.8723800199999999,100
8,1.0,0.7,123,0.43946062722727,0.35,1.0,0.8736621499999999,100
8,1.0,0.7,456,0.45480103295961,0.32,0.99,0.86549293,100
8,1.0,0.7,789,0.45536870222132003,0.33,1.0,0.8727286200000001,100
8,1.0,0.9,0,0.48254593300140003,0.34,0.75,0.88980498,100
8,1.0,0.9,42,0.53558717004074,0.31,0.8,0.90704474,100
8,1.0,0.9,123,0.5091684005661999,0.32,0.77,0.8954759,100
8,1.0,0.9,456,0.54492859578947,0.3,0.8,0.90553923,100
8,1.0,0.9,789,0.5272885431511,0.3,0.78,0.89598568,100
8,2.0,0.5,0,0.37947225483311003,0.37,1.0,0.84325839,100
8,2.0,0.5,42,0.40538047650166,0.34,1.0,0.84319132,100
8,2.0,0.5,123,0.37698832685073996,0.36,1.0,0.8295174799999999,100
8,2.0,0.5,456,0.41812658314194,0.32,1.0,0.8385269399999999,100
8,2.0,0.5,789,0.41462229839318,0.33,1.0,0.8424842800000001,100
8,2.0,0.7,0,0.41509674332560004,0.37,1.0,0.8694713000000001,100
8,2.0,0.7,42,0.44653093250562004,0.34,1.0,0.8723800199999999,100
8,2.0,0.7,123,0.43946062722727,0.35,1.0,0.8736621499999999,100
8,2.0,0.7,456,0.45480103295961,0.32,0.99,0.86549293,100
8,2.0,0.7,789,0.45536870222132003,0.33,1.0,0.8727286200000001,100
8,2.0,0.9,0,0.48254593300140003,0.34,0.75,0.88980498,100
8,2.0,0.9,42,0.53558717004074,0.31,0.8,0.90704474,100
8,2.0,0.9,123,0.5091684005661999,0.32,0.77,0.8954759,100
8,2.0,0.9,456,0.54492859578947,0.3,0.8,0.90553923,100
8,2.0,0.9,789,0.5272885431511,0.3,0.78,0.89598568,100
8,4.0,0.5,0,0.37947225483311003,0.37,1.0,0.84325839,100
8,4.0,0.5,42,0.40538047650166,0.34,1.0,0.84319132,100
8,4.0,0.5,123,0.37698832685073996,0.36,1.0,0.8295174799999999,100
8,4.0,0.5,456,0.41812658314194,0.32,1.0,0.8385269399999999,100
8,4.0,0.5,789,0.41462229839318,0.33,1.0,0.8424842800000001,100
8,4.0,0.7,0,0.41509674332560004,0.37,1.0,0.8694713000000001,100
8,4.0,0.7,42,0.44653093250562004,0.34,1.0,0.8723800199999999,100
8,4.0,0.7,123,0.43946062722727,0.35,1.0,0.8736621499999999,100
8,4.0,0.7,456,0.45480103295961,0.32,0.99,0.86549293,100
8,4.0,0.7,789,0.45536870222132003,0.33,1.0,0.8727286200000001,100
8,4.0,0.9,0,0.48254593300140003,0.34,0.75,0.88980498,100
8,4.0,0.9,42,0.53558717004074,0.31,0.8,0.90704474,100
8,4.0,0.9,123,0.5091684005661999,0.32,0.77,0.8954759,100
8,4.0,0.9,456,0.54492859578947,0.3,0.8,0.90553923,100
8,4.0,0.9,789,0.5272885431511,0.3,0.78,0.89598568,100
16,0.0,0.5,0,0.32637384670192,0.37,0.94,0.80630846,100
16,0.0,0.5,42,0.32782986960962,0.37,0.94,0.80586372,100
16,0.0,0.5,123,0.31923960131582,0.38,0.95,0.8022288999999999,100
16,0.0,0.5,456,0.33601967768251,0.38,0.98,0.8163872499999999,100
16,0.0,0.5,789,0.34232422305097,0.37,0.97,0.81220927,100
16,0.0,0.7,0,0.32637384670192,0.37,0.7,0.80630846,100
16,0.0,0.7,42,0.32782986960962,0.37,0.68,0.80586372,100
16,0.0,0.7,123,0.31923960131582,0.38,0.68,0.8022288999999999,100
16,0.0,0.7,456,0.33601967768251,0.38,0.71,0.8163872499999999,100
